[BACKTEST] Starting for BTC-USD on 15m...
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.500 DFA=0.439 Mean=0.469 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.475 DFA=0.497 Mean=0.486 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.572 DFA=0.480 Mean=0.526 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.511 DFA=0.504 Mean=0.508 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.524 DFA=0.499 Mean=0.512 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.513 DFA=0.498 Mean=0.505 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.542 DFA=0.458 Mean=0.500 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.552 DFA=0.495 Mean=0.523 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.488 DFA=0.445 Mean=0.467 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.604 DFA=0.434 Mean=0.519 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.602 DFA=0.464 Mean=0.533 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.521 DFA=0.451 Mean=0.486 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.668 DFA=0.647 Mean=0.658 Stable=true
[REGIME] TRENDING | Heuristic Score=23.8% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.547 DFA=0.522 Mean=0.534 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.684 DFA=0.679 Mean=0.682 Stable=true
[REGIME] TRENDING | Heuristic Score=35.8% | Actionable=false
[HURST] TRENDING | R/S=0.718 DFA=0.736 Mean=0.727 Stable=true
[REGIME] TRENDING | Heuristic Score=58.6% | Actionable=false
[HURST] TRENDING | R/S=0.615 DFA=0.615 Mean=0.615 Stable=true
[REGIME] TRENDING | Heuristic Score=2.5% | Actionable=false
[HURST] TRENDING | R/S=0.616 DFA=0.612 Mean=0.614 Stable=true
[REGIME] TRENDING | Heuristic Score=2.1% | Actionable=false
[HURST] TRENDING | R/S=0.620 DFA=0.623 Mean=0.621 Stable=true
[REGIME] TRENDING | Heuristic Score=5.7% | Actionable=false
[HURST] TRENDING | R/S=0.608 DFA=0.567 Mean=0.587 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.550 DFA=0.431 Mean=0.490 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.637 DFA=0.664 Mean=0.650 Stable=true
[REGIME] TRENDING | Heuristic Score=20.1% | Actionable=false
[HURST] TRENDING | R/S=0.674 DFA=0.557 Mean=0.615 Stable=false
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.653 DFA=0.596 Mean=0.625 Stable=true
[REGIME] TRENDING | Heuristic Score=7.3% | Actionable=false
[HURST] TRENDING | R/S=0.646 DFA=0.591 Mean=0.619 Stable=true
[REGIME] TRENDING | Heuristic Score=4.4% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.553 DFA=0.451 Mean=0.502 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.572 DFA=0.488 Mean=0.530 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.559 DFA=0.395 Mean=0.477 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.550 DFA=0.355 Mean=0.453 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.572 DFA=0.386 Mean=0.479 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.549 DFA=0.501 Mean=0.525 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.527 DFA=0.459 Mean=0.493 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] RANDOM_WALK | R/S=0.535 DFA=0.543 Mean=0.539 Stable=true
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.651 DFA=0.717 Mean=0.684 Stable=true
[REGIME] TRENDING | Heuristic Score=37.1% | Actionable=false
[HURST] TRENDING | R/S=0.603 DFA=0.678 Mean=0.640 Stable=true
[REGIME] TRENDING | Heuristic Score=15.1% | Actionable=false
[HURST] TRENDING | R/S=0.630 DFA=0.653 Mean=0.641 Stable=true
[REGIME] TRENDING | Heuristic Score=15.7% | Actionable=false
[MONGO] Connected to ghosttrade cluster
[BACKTEST] Upserted 8 setups to MongoDB.

=== EMPIRICAL HEURISTIC VALIDATION for BTC-USD 15m ===
Maximum Heuristic Score Reached: 58.60%
Bucket		Win Rate	Total Trades
>= 0.95		N/A		0
0.90-0.949		N/A		0
0.85-0.899		N/A		0
< 0.85		31.0%		145
=========================================================

[BACKTEST] Starting for BTC-USD on 1h...
[DATA] Multi-TF Cache hit for BTC-USD
[BACKTEST] Fetched 3000 bars.
[HURST] RANDOM_WALK | R/S=0.584 DFA=0.447 Mean=0.515 Stable=false
[REGIME] RANDOM_WALK | Heuristic Score=0% | Actionable=false
[HURST] TRENDING | R/S=0.636 DFA=0.643 Mean=0.639 Stable=true
[REGIME] TRENDING | Heuristic Score=14.6% | Actionable=false
[HURST] TRENDING | R/S=0.612 DFA=0.616 Mean=0.614 Stable=true
[REGIME] TRENDING | Heuristic Score=1.9% | Actionable=false
[HURST] TRENDING | R/S=0.581 DFA=0.564 Mean=0.572 Stable=true
[REGIME] TRENDING | Heuristic Score=0% | Actionable=false
